Title ID	Region	Name	PKG direct link
PCSB00040	EU	Asphalt Injection	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00040_00/RImAqIzVlyikIuyTyKmWPqDxmZQPdSvlUdFFMEEhcObSljYBwsemhXPllYQPwSem.pkg
PCSB00060	EU	Treasures of Montezuma Blitz	http://ares.dl.playstation.net/cdn/EP4173/PCSB00060_00/UvFbbYPWwaQSFvSDuECZSQKwQGvglaEFuvaqjkJczsPDbaSsyeJRVZbcQXOElKtI.pkg
PCSF00012	EU	Uncharted: Golden Abyss	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00012_00/pxTfWxOyWsQLbZrQgfOVPdtVDXXgdjitvaylZvByLCOehpAHngZNeOtKbcJkWqAM.pkg
PCSG00685	KO/CN	DEEMO ~The Last Recital~	http://zeus.dl.playstation.net/cdn/JP1386/PCSG00685_00/JP1386-PCSG00685_00-DEEMOLASTRECITAL_bg_1_feea41b60df01a82aa460a0240a4bf04d6df7995.pkg
PCSF00438	EU	God Of War Collection	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00438_00/ibPrxgLFVyetVdlWRBwtPzqksLbnVURuDGkqMcHBXVYWWcBxSgvDAZfRZNasHvXZ.pkg
PCSB00042	EU	BLAZBLUE Continuum Shift Extend	http://zeus.dl.playstation.net/cdn/EP4293/PCSB00042_00/LVBLlGmFZJhKkDqelZufSHhLOcVdaXecwcaLuKlzxSnhoDQYgjRKjwiUvBJIsjwZ.pkg
PCSB00096	EU	Tales from Space: Mutant Blobs Attack	http://ares.dl.playstation.net/cdn/EP2145/PCSB00096_00/TxqhokuEzLVzmJzzJrUHJkWpzifcACOlCOSjGAVVfgIdATDGrmucHXkbwWVYjTFT.pkg
PCSB00103	EU	LEGO Harry Potter: Years 5-7	http://zeus.dl.playstation.net/cdn/EP1018/PCSB00103_00/YTKiLqdIKOlSamciiaayAoNNWgCSaXtlHCYBueXEZTuOyFmMbAGaaSDImxPExwEu.pkg
PCSB00111	EU	CastleStorm	http://zeus.dl.playstation.net/cdn/EP4042/PCSB00111_00/KirmhyaeWAsBaZORLFeqLsiHjRRYJEBHBxtMhmDiXrfdaOYNbHhmGYctZuhyLqSC.pkg
PCSB00116	EU	Pinball Arcade	http://ares.dl.playstation.net/cdn/EP2058/PCSB00116_00/YLAYOWUqsMckTyWtWrQHGVRmkWSUakWHhrMeoYPjiqgdwFnIASDqVOWMbAQQKlrs.pkg
PCSB00126	EU	Kickbeat	http://zeus.dl.playstation.net/cdn/EP4042/PCSB00126_00/ldKHVbqNcFqtDviuiNcUhbgyjABxgVParShflXNaqhscKBZUfNpdCNlYfpllgMIm.pkg
